CO(GT),PT08.S1(CO),NO2(GT),PT08.S4(NO2),T,RH,AH,day,year,quarter,weekday,label
1.0,913.0,53.0,1252.0,8.2,60.8,0.6657,11.0,2004.0,1.0,3.0,2
1.7,1080.0,97.0,1375.0,8.3,58.5,0.6438,12.0,2004.0,1.0,4.0,2
1.9,1044.0,110.0,1378.0,7.7,59.7,0.6308,12.0,2004.0,1.0,4.0,2
1.4,988.0,91.0,1304.0,7.1,61.8,0.6276,12.0,2004.0,1.0,4.0,2
0.8,889.0,109.0,1187.0,7.0,62.3,0.6261,12.0,2004.0,1.0,4.0,2
1.8,831.0,32.0,1134.0,6.1,65.9,0.6248,12.0,2004.0,1.0,4.0,2
0.6,847.0,44.0,1155.0,6.3,65.0,0.6233,12.0,2004.0,1.0,4.0,2
0.8,927.0,71.0,1223.0,6.8,62.9,0.6234,12.0,2004.0,1.0,4.0,2
1.4,1091.0,104.0,1361.0,6.4,65.1,0.6316,12.0,2004.0,1.0,4.0,2
4.4,1587.0,141.0,1900.0,7.3,63.1,0.6499,12.0,2004.0,1.0,4.0,3
1.8,1545.0,109.0,2058.0,9.2,56.2,0.6561,12.0,2004.0,1.0,4.0,3
3.1,1350.0,122.0,1712.0,13.2,41.7,0.632,12.0,2004.0,1.0,4.0,3
2.7,1263.0,143.0,1598.0,14.3,38.4,0.6243,12.0,2004.0,1.0,4.0,3
2.1,1206.0,113.0,1537.0,15.0,36.5,0.6195,12.0,2004.0,1.0,4.0,3
2.5,1252.0,116.0,1593.0,16.1,34.5,0.6262,12.0,2004.0,1.0,4.0,3
2.7,1287.0,123.0,1660.0,16.3,35.7,0.656,12.0,2004.0,1.0,4.0,3
2.9,1353.0,126.0,1740.0,15.8,37.0,0.661,12.0,2004.0,1.0,4.0,3
2.8,1309.0,120.0,1657.0,15.9,37.2,0.6657,12.0,2004.0,1.0,4.0,3
2.4,1274.0,119.0,1610.0,16.9,34.3,0.6549,12.0,2004.0,1.0,4.0,3
3.9,1510.0,149.0,1910.0,15.1,39.6,0.6766,12.0,2004.0,1.0,4.0,3
3.7,1525.0,145.0,1847.0,14.4,43.4,0.7084,12.0,2004.0,1.0,4.0,3
6.6,1843.0,170.0,2390.0,12.9,50.5,0.7478,12.0,2004.0,1.0,4.0,3
4.4,1598.0,149.0,1941.0,12.1,53.3,0.7536,12.0,2004.0,1.0,4.0,3
3.5,1484.0,139.0,1723.0,11.0,59.1,0.774,12.0,2004.0,1.0,4.0,3
5.4,1677.0,134.0,2062.0,9.7,64.6,0.7771,12.0,2004.0,1.0,4.0,3
2.7,1280.0,113.0,1544.0,9.5,64.1,0.7597,13.0,2004.0,1.0,5.0,3
1.9,1196.0,97.0,1463.0,9.1,63.9,0.7423,13.0,2004.0,1.0,5.0,2
1.6,1184.0,82.0,1365.0,8.8,63.9,0.7256,13.0,2004.0,1.0,5.0,2
1.7,1172.0,109.0,1380.0,7.8,67.5,0.7173,13.0,2004.0,1.0,5.0,2
1.8,1147.0,83.0,1412.0,7.0,71.1,0.7158,13.0,2004.0,1.0,5.0,2
1.0,978.0,65.0,1274.0,8.3,63.6,0.6982,13.0,2004.0,1.0,5.0,2
1.2,1100.0,60.0,1268.0,7.2,67.5,0.6887,13.0,2004.0,1.0,5.0,2
1.5,1112.0,77.0,1409.0,6.3,71.9,0.6932,13.0,2004.0,1.0,5.0,2
2.7,1336.0,96.0,1678.0,6.5,71.6,0.6945,13.0,2004.0,1.0,5.0,3
3.7,1408.0,119.0,1777.0,9.6,59.7,0.7124,13.0,2004.0,1.0,5.0,3
3.2,1447.0,126.0,1667.0,12.4,51.2,0.7335,13.0,2004.0,1.0,5.0,3
4.1,1542.0,158.0,1780.0,15.6,42.2,0.7451,13.0,2004.0,1.0,5.0,3
3.6,1451.0,161.0,1679.0,18.4,33.8,0.709,13.0,2004.0,1.0,5.0,3
2.8,1328.0,124.0,1600.0,19.4,31.3,0.695,13.0,2004.0,1.0,5.0,3
2.0,1207.0,102.0,1488.0,18.0,34.8,0.7127,13.0,2004.0,1.0,5.0,3
2.0,1240.0,116.0,1532.0,18.4,33.6,0.7042,13.0,2004.0,1.0,5.0,3
2.5,1306.0,124.0,1554.0,17.6,35.1,0.7012,13.0,2004.0,1.0,5.0,3
2.3,1326.0,125.0,1602.0,16.7,37.8,0.7117,13.0,2004.0,1.0,5.0,3
3.2,1473.0,148.0,1779.0,16.1,41.0,0.7451,13.0,2004.0,1.0,5.0,3
4.2,1609.0,165.0,1922.0,15.8,42.4,0.7569,13.0,2004.0,1.0,5.0,3
4.2,1611.0,161.0,1915.0,15.7,44.1,0.7786,13.0,2004.0,1.0,5.0,3
4.2,1621.0,159.0,1860.0,15.3,46.8,0.8091,13.0,2004.0,1.0,5.0,3
3.1,1444.0,143.0,1748.0,14.6,48.6,0.806,13.0,2004.0,1.0,5.0,3
2.6,1418.0,130.0,1603.0,14.7,49.3,0.8193,13.0,2004.0,1.0,5.0,3
2.9,1534.0,129.0,1611.0,13.9,53.6,0.8498,14.0,2004.0,1.0,6.0,3
2.8,1484.0,119.0,1624.0,14.6,51.5,0.8536,14.0,2004.0,1.0,6.0,3
2.5,1367.0,104.0,1543.0,12.5,58.9,0.8537,14.0,2004.0,1.0,6.0,3
2.4,1344.0,109.0,1620.0,11.6,63.4,0.8674,14.0,2004.0,1.0,6.0,3
1.8,1130.0,82.0,1452.0,12.1,61.1,0.8603,14.0,2004.0,1.0,6.0,2
1.2,1062.0,70.0,1377.0,11.5,63.1,0.8533,14.0,2004.0,1.0,6.0,2
1.0,1076.0,63.0,1333.0,11.6,62.2,0.8473,14.0,2004.0,1.0,6.0,2
0.9,1028.0,67.0,1340.0,10.4,67.6,0.853,14.0,2004.0,1.0,6.0,2
1.4,1155.0,84.0,1414.0,11.6,62.7,0.853,14.0,2004.0,1.0,6.0,2
1.6,1235.0,83.0,1527.0,12.4,60.0,0.8627,14.0,2004.0,1.0,6.0,2
2.2,1332.0,98.0,1614.0,14.5,53.1,0.8728,14.0,2004.0,1.0,6.0,3
2.8,1445.0,114.0,1696.0,16.9,46.1,0.8789,14.0,2004.0,1.0,6.0,3
2.8,1416.0,119.0,1677.0,19.3,38.3,0.8474,14.0,2004.0,1.0,6.0,3
2.0,1281.0,104.0,1525.0,21.2,31.4,0.7812,14.0,2004.0,1.0,6.0,3
1.8,1207.0,102.0,1490.0,21.4,30.2,0.7616,14.0,2004.0,1.0,6.0,3
1.9,1258.0,107.0,1511.0,21.9,29.0,0.7525,14.0,2004.0,1.0,6.0,3
3.0,1458.0,129.0,1646.0,22.2,28.4,0.7516,14.0,2004.0,1.0,6.0,3
2.9,1438.0,128.0,1668.0,21.3,30.8,0.7696,14.0,2004.0,1.0,6.0,3
2.5,1478.0,121.0,1671.0,19.7,36.7,0.8307,14.0,2004.0,1.0,6.0,3
4.6,1808.0,157.0,1993.0,18.4,41.7,0.8732,14.0,2004.0,1.0,6.0,3
5.9,1898.0,173.0,2103.0,17.6,46.1,0.921,14.0,2004.0,1.0,6.0,3
3.4,1560.0,146.0,1818.0,16.7,49.6,0.932,14.0,2004.0,1.0,6.0,3
2.1,1324.0,121.0,1587.0,16.3,51.0,0.9341,14.0,2004.0,1.0,6.0,3
2.2,1349.0,119.0,1617.0,14.7,55.9,0.9314,14.0,2004.0,1.0,6.0,3
1.8,1239.0,99.0,1547.0,14.8,54.7,0.9164,15.0,2004.0,1.0,0.0,1
1.8,1239.0,93.0,1543.0,14.0,57.0,0.9094,15.0,2004.0,1.0,0.0,1
1.8,1224.0,88.0,1566.0,13.4,61.3,0.9361,15.0,2004.0,1.0,0.0,1
1.1,1078.0,109.0,1487.0,12.6,63.5,0.923,15.0,2004.0,1.0,0.0,1
1.8,1078.0,71.0,1468.0,12.3,65.4,0.9351,15.0,2004.0,1.0,0.0,1
1.0,1075.0,74.0,1464.0,11.9,67.4,0.9375,15.0,2004.0,1.0,0.0,1
1.4,1157.0,80.0,1584.0,11.4,70.5,0.9475,15.0,2004.0,1.0,0.0,1
2.2,1314.0,89.0,1710.0,11.3,70.2,0.9401,15.0,2004.0,1.0,0.0,1
5.5,1797.0,114.0,2323.0,12.4,63.9,0.917,15.0,2004.0,1.0,0.0,3
8.1,1961.0,149.0,2665.0,14.8,54.3,0.9076,15.0,2004.0,1.0,0.0,3
5.8,1771.0,157.0,2262.0,17.4,45.6,0.8993,15.0,2004.0,1.0,0.0,3
4.2,1564.0,155.0,2029.0,19.8,38.5,0.8801,15.0,2004.0,1.0,0.0,3
3.1,1430.0,134.0,1783.0,22.0,34.1,0.8904,15.0,2004.0,1.0,0.0,3
2.9,1417.0,119.0,1831.0,23.3,32.2,0.9096,15.0,2004.0,1.0,0.0,3
2.9,1400.0,111.0,1829.0,23.9,30.0,0.8757,15.0,2004.0,1.0,0.0,3
2.5,1317.0,104.0,1707.0,24.4,28.9,0.8736,15.0,2004.0,1.0,0.0,1
2.3,1318.0,99.0,1675.0,24.4,29.4,0.8848,15.0,2004.0,1.0,0.0,1
2.8,1445.0,110.0,1824.0,23.8,31.3,0.9137,15.0,2004.0,1.0,0.0,3
6.1,1917.0,162.0,2447.0,22.5,35.4,0.9547,15.0,2004.0,1.0,0.0,3
8.0,2040.0,187.0,2679.0,20.4,42.5,1.0086,15.0,2004.0,1.0,0.0,3
6.5,1895.0,165.0,2443.0,18.3,52.6,1.0945,15.0,2004.0,1.0,0.0,3
4.2,1595.0,145.0,2058.0,16.7,57.4,1.0786,15.0,2004.0,1.0,0.0,3
3.2,1439.0,125.0,1856.0,15.7,60.2,1.0654,15.0,2004.0,1.0,0.0,3
1.4,1142.0,101.0,1547.0,15.3,61.4,1.058,15.0,2004.0,1.0,0.0,1
2.1,1304.0,103.0,1731.0,14.1,65.7,1.0494,16.0,2004.0,1.0,1.0,3
1.2,1074.0,88.0,1483.0,14.8,60.6,1.0148,16.0,2004.0,1.0,1.0,1
0.8,968.0,61.0,1386.0,14.8,59.2,0.9879,16.0,2004.0,1.0,1.0,1
0.7,929.0,109.0,1364.0,13.6,62.1,0.9636,16.0,2004.0,1.0,1.0,1
1.8,941.0,59.0,1373.0,12.3,66.2,0.945,16.0,2004.0,1.0,1.0,1
0.6,937.0,52.0,1348.0,12.8,63.2,0.9283,16.0,2004.0,1.0,1.0,1
0.9,1017.0,64.0,1418.0,11.2,68.5,0.9081,16.0,2004.0,1.0,1.0,1
1.3,1171.0,70.0,1467.0,11.0,66.5,0.8705,16.0,2004.0,1.0,1.0,1
3.4,1541.0,97.0,1889.0,11.7,63.7,0.8719,16.0,2004.0,1.0,1.0,3
3.7,1539.0,95.0,2055.0,13.6,56.3,0.8743,16.0,2004.0,1.0,1.0,3
5.3,1735.0,150.0,2211.0,17.8,42.9,0.8672,16.0,2004.0,1.0,1.0,3
4.1,1571.0,162.0,1973.0,21.4,33.3,0.8417,16.0,2004.0,1.0,1.0,3
3.3,1452.0,154.0,1868.0,24.4,27.4,0.8231,16.0,2004.0,1.0,1.0,3
4.0,1579.0,161.0,1998.0,25.3,26.1,0.8264,16.0,2004.0,1.0,1.0,3
3.8,1466.0,161.0,1897.0,25.8,23.2,0.7589,16.0,2004.0,1.0,1.0,3
2.8,1280.0,128.0,1675.0,27.0,20.2,0.7094,16.0,2004.0,1.0,1.0,3
2.9,1407.0,129.0,1759.0,28.2,18.6,0.7014,16.0,2004.0,1.0,1.0,3
2.9,1389.0,133.0,1739.0,28.0,19.1,0.7098,16.0,2004.0,1.0,1.0,3
3.4,1447.0,139.0,1778.0,23.9,25.7,0.7519,16.0,2004.0,1.0,1.0,3
3.9,1551.0,137.0,1875.0,21.3,34.8,0.873,16.0,2004.0,1.0,1.0,3
3.2,1474.0,143.0,1776.0,20.4,36.7,0.8704,16.0,2004.0,1.0,1.0,3
5.1,1800.0,177.0,2106.0,19.0,41.3,0.9007,16.0,2004.0,1.0,1.0,3
2.6,1379.0,138.0,1710.0,17.9,45.9,0.9342,16.0,2004.0,1.0,1.0,3
1.7,1201.0,117.0,1560.0,16.7,48.9,0.9226,16.0,2004.0,1.0,1.0,1
1.7,1205.0,107.0,1547.0,15.5,52.9,0.9271,17.0,2004.0,1.0,2.0,3
1.2,1072.0,90.0,1442.0,15.5,51.9,0.9059,17.0,2004.0,1.0,2.0,2
0.9,998.0,79.0,1383.0,14.1,55.6,0.891,17.0,2004.0,1.0,2.0,2
0.7,933.0,109.0,1332.0,13.1,57.9,0.8666,17.0,2004.0,1.0,2.0,2
1.8,883.0,60.0,1303.0,12.7,57.9,0.8447,17.0,2004.0,1.0,2.0,2
0.5,869.0,40.0,1268.0,11.8,58.0,0.8026,17.0,2004.0,1.0,2.0,2
0.5,891.0,53.0,1289.0,11.9,57.4,0.7978,17.0,2004.0,1.0,2.0,2
1.6,1173.0,84.0,1556.0,9.9,65.2,0.7956,17.0,2004.0,1.0,2.0,2
4.1,1587.0,108.0,1999.0,11.1,60.2,0.7958,17.0,2004.0,1.0,2.0,3
6.6,1852.0,127.0,2535.0,14.1,50.0,0.802,17.0,2004.0,1.0,2.0,3
4.3,1522.0,134.0,2026.0,17.7,40.1,0.8048,17.0,2004.0,1.0,2.0,3
2.9,1438.0,135.0,1782.0,21.1,33.4,0.8265,17.0,2004.0,1.0,2.0,3
2.5,1393.0,142.0,1654.0,24.3,28.3,0.8471,17.0,2004.0,1.0,2.0,3
2.8,1452.0,153.0,1747.0,25.6,25.6,0.8254,17.0,2004.0,1.0,2.0,3
2.6,1389.0,123.0,1712.0,25.9,25.9,0.8503,17.0,2004.0,1.0,2.0,3
2.0,1207.0,104.0,1520.0,26.8,18.7,0.65,17.0,2004.0,1.0,2.0,3
2.9,1365.0,129.0,1679.0,29.3,15.8,0.6309,17.0,2004.0,1.0,2.0,3
2.5,1247.0,114.0,1525.0,28.5,14.9,0.5708,17.0,2004.0,1.0,2.0,3
5.0,1557.0,158.0,1981.0,25.9,16.0,0.5237,17.0,2004.0,1.0,2.0,3
7.6,1973.0,194.0,2414.0,23.1,26.5,0.7403,17.0,2004.0,1.0,2.0,3
6.7,1975.0,182.0,2416.0,20.5,38.2,0.9133,17.0,2004.0,1.0,2.0,3
5.7,1795.0,180.0,2174.0,19.1,42.6,0.9294,17.0,2004.0,1.0,2.0,3
2.8,1444.0,136.0,1727.0,17.2,44.1,0.8558,17.0,2004.0,1.0,2.0,3
2.6,1488.0,127.0,1778.0,16.0,50.9,0.9206,17.0,2004.0,1.0,2.0,3
2.3,1371.0,116.0,1669.0,14.8,53.9,0.9024,18.0,2004.0,1.0,3.0,3
1.4,1161.0,107.0,1502.0,14.3,55.4,0.8975,18.0,2004.0,1.0,3.0,2
1.0,1064.0,88.0,1407.0,14.8,52.1,0.8686,18.0,2004.0,1.0,3.0,2
0.7,970.0,109.0,1351.0,13.9,53.9,0.8501,18.0,2004.0,1.0,3.0,2
1.8,954.0,78.0,1334.0,11.6,61.9,0.8442,18.0,2004.0,1.0,3.0,2
0.6,931.0,57.0,1307.0,12.0,58.9,0.8233,18.0,2004.0,1.0,3.0,2
0.7,938.0,71.0,1333.0,10.9,62.1,0.8113,18.0,2004.0,1.0,3.0,2
1.5,1166.0,85.0,1551.0,10.6,63.3,0.8067,18.0,2004.0,1.0,3.0,2
4.7,1643.0,124.0,2094.0,11.5,60.0,0.8117,18.0,2004.0,1.0,3.0,3
6.6,1934.0,151.0,2468.0,14.3,50.6,0.8186,18.0,2004.0,1.0,3.0,3
4.5,1617.0,150.0,2010.0,17.8,40.5,0.821,18.0,2004.0,1.0,3.0,3
2.8,1473.0,152.0,1752.0,20.8,34.4,0.8365,18.0,2004.0,1.0,3.0,3
2.2,1379.0,139.0,1663.0,23.8,28.2,0.8219,18.0,2004.0,1.0,3.0,3
2.2,1385.0,133.0,1648.0,24.2,28.7,0.8515,18.0,2004.0,1.0,3.0,3
2.3,1379.0,126.0,1660.0,25.2,24.9,0.7829,18.0,2004.0,1.0,3.0,3
2.2,1322.0,128.0,1639.0,27.0,17.8,0.6275,18.0,2004.0,1.0,3.0,3
2.8,1496.0,169.0,1767.0,27.1,23.1,0.818,18.0,2004.0,1.0,3.0,3
2.7,1409.0,149.0,1689.0,25.8,23.9,0.7832,18.0,2004.0,1.0,3.0,3
3.7,1513.0,156.0,1957.0,23.0,26.8,0.7446,18.0,2004.0,1.0,3.0,3
5.1,1667.0,168.0,2118.0,20.7,31.1,0.7523,18.0,2004.0,1.0,3.0,3
5.1,1667.0,176.0,2051.0,18.6,36.2,0.7676,18.0,2004.0,1.0,3.0,3
3.2,1430.0,135.0,1732.0,16.0,48.4,0.8768,18.0,2004.0,1.0,3.0,3
2.1,1333.0,121.0,1621.0,14.5,57.8,0.9456,18.0,2004.0,1.0,3.0,3
1.7,1262.0,99.0,1545.0,13.1,64.2,0.9606,18.0,2004.0,1.0,3.0,3
2.0,1287.0,106.0,1606.0,12.0,69.7,0.9735,19.0,2004.0,1.0,4.0,3
1.6,1134.0,96.0,1501.0,11.9,71.1,0.9915,19.0,2004.0,1.0,4.0,2
0.9,999.0,63.0,1380.0,12.5,69.3,1.0029,19.0,2004.0,1.0,4.0,2
0.7,961.0,109.0,1301.0,12.5,67.5,0.9768,19.0,2004.0,1.0,4.0,2
1.8,934.0,32.0,1280.0,12.3,67.7,0.9665,19.0,2004.0,1.0,4.0,2
0.5,913.0,28.0,1260.0,12.5,66.8,0.962,19.0,2004.0,1.0,4.0,2
0.7,969.0,61.0,1324.0,12.3,66.3,0.9487,19.0,2004.0,1.0,4.0,2
1.5,1182.0,99.0,1539.0,12.4,64.9,0.9332,19.0,2004.0,1.0,4.0,2
4.8,1740.0,157.0,2144.0,13.0,61.6,0.9209,19.0,2004.0,1.0,4.0,3
6.2,1819.0,166.0,2456.0,13.6,58.8,0.912,19.0,2004.0,1.0,4.0,3
4.0,1427.0,149.0,1980.0,13.9,57.1,0.9032,19.0,2004.0,1.0,4.0,3
3.3,1390.0,135.0,1879.0,14.5,54.4,0.8917,19.0,2004.0,1.0,4.0,3
2.8,1283.0,127.0,1751.0,15.5,50.1,0.8744,19.0,2004.0,1.0,4.0,3
3.0,1304.0,122.0,1801.0,16.1,47.6,0.8655,19.0,2004.0,1.0,4.0,3
3.3,1364.0,135.0,1875.0,16.3,47.1,0.864,19.0,2004.0,1.0,4.0,3
3.5,1410.0,139.0,1957.0,16.4,47.5,0.8791,19.0,2004.0,1.0,4.0,3
4.0,1476.0,147.0,1955.0,16.1,50.2,0.9094,19.0,2004.0,1.0,4.0,3
4.6,1522.0,158.0,2005.0,16.0,50.7,0.9142,19.0,2004.0,1.0,4.0,3
4.1,1442.0,146.0,1952.0,15.8,50.3,0.8989,19.0,2004.0,1.0,4.0,3
4.5,1469.0,144.0,1997.0,15.5,50.6,0.884,19.0,2004.0,1.0,4.0,3
3.9,1467.0,138.0,1942.0,15.4,51.4,0.8956,19.0,2004.0,1.0,4.0,3
4.0,1421.0,143.0,1854.0,15.2,53.1,0.9117,19.0,2004.0,1.0,4.0,3
2.2,1175.0,116.0,1604.0,14.7,57.6,0.9573,19.0,2004.0,1.0,4.0,3
2.1,1215.0,109.0,1547.0,14.2,58.3,0.938,19.0,2004.0,1.0,4.0,3
1.7,1127.0,92.0,1447.0,13.8,57.9,0.9085,20.0,2004.0,1.0,5.0,2
1.6,1090.0,83.0,1429.0,13.9,55.9,0.8842,20.0,2004.0,1.0,5.0,2
1.3,1017.0,81.0,1382.0,13.9,55.6,0.8765,20.0,2004.0,1.0,5.0,2
1.3,997.0,109.0,1359.0,13.8,55.1,0.8666,20.0,2004.0,1.0,5.0,2
1.8,945.0,55.0,1332.0,13.8,54.6,0.8574,20.0,2004.0,1.0,5.0,2
0.8,956.0,53.0,1351.0,13.6,55.1,0.856,20.0,2004.0,1.0,5.0,2
0.8,966.0,67.0,1342.0,13.6,59.0,0.9129,20.0,2004.0,1.0,5.0,2
1.1,1064.0,91.0,1461.0,13.5,58.4,0.896,20.0,2004.0,1.0,5.0,2
2.1,1300.0,113.0,1623.0,13.8,58.0,0.9083,20.0,2004.0,1.0,5.0,3
2.4,1348.0,102.0,1689.0,14.6,53.1,0.8765,20.0,2004.0,1.0,5.0,3
2.6,1425.0,107.0,1764.0,15.0,52.3,0.8881,20.0,2004.0,1.0,5.0,3
2.8,1474.0,113.0,1768.0,15.4,52.1,0.9046,20.0,2004.0,1.0,5.0,3
2.6,1490.0,108.0,1757.0,16.3,50.0,0.9158,20.0,2004.0,1.0,5.0,3
2.6,1495.0,105.0,1735.0,17.1,47.9,0.9281,20.0,2004.0,1.0,5.0,3
2.1,1376.0,93.0,1636.0,19.0,42.9,0.937,20.0,2004.0,1.0,5.0,3
1.7,1305.0,87.0,1573.0,19.5,42.3,0.9476,20.0,2004.0,1.0,5.0,3
1.6,1283.0,76.0,1539.0,19.5,42.3,0.9493,20.0,2004.0,1.0,5.0,2
2.1,1392.0,94.0,1649.0,19.1,43.8,0.9556,20.0,2004.0,1.0,5.0,3
2.3,1452.0,110.0,1774.0,18.5,46.3,0.9744,20.0,2004.0,1.0,5.0,3
3.5,1633.0,136.0,1919.0,17.4,51.6,1.0159,20.0,2004.0,1.0,5.0,3
3.9,1625.0,139.0,1885.0,17.1,51.3,0.9914,20.0,2004.0,1.0,5.0,3
3.3,1535.0,125.0,1820.0,16.4,53.8,0.9964,20.0,2004.0,1.0,5.0,3
2.3,1323.0,111.0,1712.0,16.2,55.4,1.0132,20.0,2004.0,1.0,5.0,3
2.1,1309.0,97.0,1672.0,15.9,57.7,1.0356,20.0,2004.0,1.0,5.0,3
2.8,1456.0,107.0,1714.0,15.7,58.6,1.0396,21.0,2004.0,1.0,6.0,3
2.1,1300.0,90.0,1577.0,15.1,60.9,1.0398,21.0,2004.0,1.0,6.0,3
1.6,1203.0,84.0,1526.0,15.6,56.6,0.9951,21.0,2004.0,1.0,6.0,2
1.6,1195.0,109.0,1554.0,15.2,57.9,0.9941,21.0,2004.0,1.0,6.0,2
1.8,1117.0,87.0,1539.0,15.4,57.8,1.0021,21.0,2004.0,1.0,6.0,2
1.1,1062.0,66.0,1461.0,14.9,60.6,1.0196,21.0,2004.0,1.0,6.0,2
0.7,947.0,36.0,1390.0,14.5,63.0,1.0316,21.0,2004.0,1.0,6.0,2
0.8,1065.0,62.0,1492.0,14.2,66.2,1.063,21.0,2004.0,1.0,6.0,2
1.2,1155.0,91.0,1528.0,14.5,65.3,1.0704,21.0,2004.0,1.0,6.0,2
1.4,1220.0,89.0,1560.0,15.3,62.1,1.073,21.0,2004.0,1.0,6.0,2
1.7,1301.0,93.0,1633.0,16.3,59.0,1.0868,21.0,2004.0,1.0,6.0,3
1.8,1279.0,81.0,1646.0,18.9,49.6,1.07,21.0,2004.0,1.0,6.0,3
1.8,1267.0,82.0,1617.0,19.4,46.1,1.0249,21.0,2004.0,1.0,6.0,3
1.9,1239.0,80.0,1568.0,20.8,41.6,1.0091,21.0,2004.0,1.0,6.0,2
1.3,1128.0,48.0,1507.0,21.4,40.3,1.0126,21.0,2004.0,1.0,6.0,2
1.6,1243.0,61.0,1669.0,21.2,39.3,0.9791,21.0,2004.0,1.0,6.0,2
1.9,1208.0,89.0,1506.0,20.3,38.0,0.8942,21.0,2004.0,1.0,6.0,2
2.3,1306.0,105.0,1607.0,19.4,41.3,0.9206,21.0,2004.0,1.0,6.0,3
3.8,1546.0,116.0,1874.0,18.5,43.8,0.9252,21.0,2004.0,1.0,6.0,3
3.5,1501.0,119.0,1744.0,17.8,48.1,0.9689,21.0,2004.0,1.0,6.0,3
4.3,1605.0,144.0,1840.0,17.9,46.9,0.952,21.0,2004.0,1.0,6.0,3
2.8,1316.0,123.0,1673.0,17.4,49.1,0.9688,21.0,2004.0,1.0,6.0,3
1.9,1195.0,105.0,1594.0,17.0,51.7,0.9914,21.0,2004.0,1.0,6.0,3
1.9,1211.0,93.0,1624.0,16.4,55.1,1.0198,21.0,2004.0,1.0,6.0,2
1.7,1161.0,86.0,1582.0,16.1,60.0,1.0919,22.0,2004.0,1.0,0.0,1
1.5,1095.0,76.0,1547.0,15.8,60.5,1.0805,22.0,2004.0,1.0,0.0,1
0.6,897.0,33.0,1355.0,16.3,57.0,1.0491,22.0,2004.0,1.0,0.0,1
0.4,842.0,109.0,1274.0,16.9,53.9,1.0309,22.0,2004.0,1.0,0.0,1
1.8,854.0,27.0,1304.0,16.1,55.9,1.0153,22.0,2004.0,1.0,0.0,1
0.3,845.0,23.0,1278.0,16.5,53.9,1.0049,22.0,2004.0,1.0,0.0,1
0.6,942.0,46.0,1373.0,16.4,54.0,0.9979,22.0,2004.0,1.0,0.0,1
1.2,1090.0,76.0,1538.0,15.7,57.6,1.0195,22.0,2004.0,1.0,0.0,1
3.6,1514.0,116.0,1996.0,15.8,53.7,0.9571,22.0,2004.0,1.0,0.0,3
